count,date,year
281,2014-09-16,2014
249,2014-09-17,2014
297,2014-09-18,2014
262,2014-09-19,2014
258,2014-09-20,2014
224,2014-09-21,2014
280,2014-09-22,2014
281,2014-09-23,2014
255,2014-09-24,2014
298,2014-09-25,2014
264,2014-09-26,2014
219,2014-09-27,2014
213,2014-09-28,2014
270,2014-09-29,2014
252,2014-09-30,2014
266,2014-10-01,2014
255,2014-10-02,2014
252,2014-10-03,2014
236,2014-10-04,2014
215,2014-10-05,2014
258,2014-10-06,2014
247,2014-10-07,2014
240,2014-10-08,2014
225,2014-10-09,2014
257,2014-10-10,2014
209,2014-10-11,2014
196,2014-10-12,2014
264,2014-10-13,2014
266,2014-10-14,2014
249,2014-10-15,2014
269,2014-10-16,2014
252,2014-10-17,2014
232,2014-10-18,2014
237,2014-10-19,2014
255,2014-10-20,2014
248,2014-10-21,2014
266,2014-10-22,2014
260,2014-10-23,2014
305,2014-10-24,2014
208,2014-10-25,2014
223,2014-10-26,2014
248,2014-10-27,2014
245,2014-10-28,2014
234,2014-10-29,2014
284,2014-10-30,2014
290,2014-10-31,2014
218,2014-11-01,2014
229,2014-11-02,2014
260,2014-11-03,2014
274,2014-11-04,2014
184,2014-11-05,2014
241,2014-11-06,2014
266,2014-11-07,2014
201,2014-11-08,2014
216,2014-11-09,2014
259,2014-11-10,2014
207,2014-11-11,2014
188,2014-11-12,2014
183,2014-11-13,2014
231,2014-11-14,2014
166,2014-11-15,2014
123,2014-11-16,2014
221,2014-11-17,2014
270,2014-11-18,2014
261,2014-11-19,2014
245,2014-11-20,2014
256,2014-11-21,2014
182,2014-11-22,2014
208,2014-11-23,2014
203,2014-11-24,2014
212,2014-11-25,2014
214,2014-11-26,2014
129,2014-11-27,2014
202,2014-11-28,2014
196,2014-11-29,2014
167,2014-11-30,2014
204,2014-12-01,2014
224,2014-12-02,2014
250,2014-12-03,2014
219,2014-12-04,2014
248,2014-12-05,2014
191,2014-12-06,2014
198,2014-12-07,2014
263,2014-12-08,2014
243,2014-12-09,2014
283,2014-12-10,2014
248,2014-12-11,2014
229,2014-12-12,2014
186,2014-12-13,2014
172,2014-12-14,2014
250,2014-12-15,2014
255,2014-12-16,2014
238,2014-12-17,2014
242,2014-12-18,2014
228,2014-12-19,2014
198,2014-12-20,2014
180,2014-12-21,2014
249,2014-12-22,2014
198,2014-12-23,2014
192,2014-12-24,2014
90,2014-12-25,2014
164,2014-12-26,2014
178,2014-12-27,2014
211,2014-12-28,2014
235,2014-12-29,2014
218,2014-12-30,2014
239,2014-12-31,2014
193,2015-01-01,2015
213,2015-01-02,2015
178,2015-01-03,2015
163,2015-01-04,2015
238,2015-01-05,2015
247,2015-01-06,2015
244,2015-01-07,2015
244,2015-01-08,2015
253,2015-01-09,2015
246,2015-01-10,2015
222,2015-01-11,2015
254,2015-01-12,2015
278,2015-01-13,2015
229,2015-01-14,2015
258,2015-01-15,2015
234,2015-01-16,2015
230,2015-01-17,2015
180,2015-01-18,2015
248,2015-01-19,2015
249,2015-01-20,2015
283,2015-01-21,2015
258,2015-01-22,2015
224,2015-01-23,2015
213,2015-01-24,2015
200,2015-01-25,2015
263,2015-01-26,2015
243,2015-01-27,2015
252,2015-01-28,2015
255,2015-01-29,2015
234,2015-01-30,2015
197,2015-01-31,2015
169,2015-02-01,2015
276,2015-02-02,2015
243,2015-02-03,2015
261,2015-02-04,2015
235,2015-02-05,2015
237,2015-02-06,2015
223,2015-02-07,2015
192,2015-02-08,2015
269,2015-02-09,2015
260,2015-02-10,2015
271,2015-02-11,2015
252,2015-02-12,2015
232,2015-02-13,2015
186,2015-02-14,2015
172,2015-02-15,2015
198,2015-02-16,2015
240,2015-02-17,2015
222,2015-02-18,2015
224,2015-02-19,2015
227,2015-02-20,2015
175,2015-02-21,2015
87,2015-02-22,2015
212,2015-02-23,2015
260,2015-02-24,2015
198,2015-02-25,2015
139,2015-02-26,2015
237,2015-02-27,2015
195,2015-02-28,2015
177,2015-03-01,2015
237,2015-03-02,2015
221,2015-03-03,2015
252,2015-03-04,2015
231,2015-03-05,2015
247,2015-03-06,2015
180,2015-03-07,2015
176,2015-03-08,2015
223,2015-03-09,2015
291,2015-03-10,2015
241,2015-03-11,2015
287,2015-03-12,2015
200,2015-03-13,2015
216,2015-03-14,2015
202,2015-03-15,2015
244,2015-03-16,2015
225,2015-03-17,2015
243,2015-03-18,2015
218,2015-03-19,2015
274,2015-03-20,2015
189,2015-03-21,2015
193,2015-03-22,2015
225,2015-03-23,2015
236,2015-03-24,2015
220,2015-03-25,2015
265,2015-03-26,2015
270,2015-03-27,2015
211,2015-03-28,2015
195,2015-03-29,2015
221,2015-03-30,2015
251,2015-03-31,2015
213,2015-04-01,2015
243,2015-04-02,2015
262,2015-04-03,2015
217,2015-04-04,2015
165,2015-04-05,2015
285,2015-04-06,2015
235,2015-04-07,2015
224,2015-04-08,2015
271,2015-04-09,2015
241,2015-04-10,2015
224,2015-04-11,2015
206,2015-04-12,2015
272,2015-04-13,2015
266,2015-04-14,2015
254,2015-04-15,2015
265,2015-04-16,2015
252,2015-04-17,2015
277,2015-04-18,2015
295,2015-04-19,2015
296,2015-04-20,2015
233,2015-04-21,2015
253,2015-04-22,2015
253,2015-04-23,2015
278,2015-04-24,2015
216,2015-04-25,2015
191,2015-04-26,2015
227,2015-04-27,2015
258,2015-04-28,2015
292,2015-04-29,2015
284,2015-04-30,2015
240,2015-05-01,2015
233,2015-05-02,2015
260,2015-05-03,2015
255,2015-05-04,2015
270,2015-05-05,2015
248,2015-05-06,2015
274,2015-05-07,2015
258,2015-05-08,2015
236,2015-05-09,2015
175,2015-05-10,2015
253,2015-05-11,2015
241,2015-05-12,2015
219,2015-05-13,2015
241,2015-05-14,2015
265,2015-05-15,2015
240,2015-05-16,2015
216,2015-05-17,2015
243,2015-05-18,2015
259,2015-05-19,2015
242,2015-05-20,2015
297,2015-05-21,2015
258,2015-05-22,2015
253,2015-05-23,2015
198,2015-05-24,2015
203,2015-05-25,2015
298,2015-05-26,2015
280,2015-05-27,2015
282,2015-05-28,2015
235,2015-05-29,2015
232,2015-05-30,2015
211,2015-05-31,2015
284,2015-06-01,2015
306,2015-06-02,2015
280,2015-06-03,2015
279,2015-06-04,2015
249,2015-06-05,2015
228,2015-06-06,2015
189,2015-06-07,2015
272,2015-06-08,2015
254,2015-06-09,2015
275,2015-06-10,2015
230,2015-06-11,2015
251,2015-06-12,2015
246,2015-06-13,2015
178,2015-06-14,2015
261,2015-06-15,2015
240,2015-06-16,2015
293,2015-06-17,2015
265,2015-06-18,2015
261,2015-06-19,2015
240,2015-06-20,2015
208,2015-06-21,2015
277,2015-06-22,2015
292,2015-06-23,2015
258,2015-06-24,2015
260,2015-06-25,2015
286,2015-06-26,2015
240,2015-06-27,2015
231,2015-06-28,2015
293,2015-06-29,2015
277,2015-06-30,2015
281,2015-07-01,2015
252,2015-07-02,2015
249,2015-07-03,2015
198,2015-07-04,2015
241,2015-07-05,2015
234,2015-07-06,2015
296,2015-07-07,2015
262,2015-07-08,2015
264,2015-07-09,2015
263,2015-07-10,2015
236,2015-07-11,2015
232,2015-07-12,2015
324,2015-07-13,2015
244,2015-07-14,2015
266,2015-07-15,2015
274,2015-07-16,2015
330,2015-07-17,2015
274,2015-07-18,2015
220,2015-07-19,2015
279,2015-07-20,2015
237,2015-07-21,2015
231,2015-07-22,2015
282,2015-07-23,2015
253,2015-07-24,2015
258,2015-07-25,2015
234,2015-07-26,2015
266,2015-07-27,2015
278,2015-07-28,2015
275,2015-07-29,2015
240,2015-07-30,2015
250,2015-07-31,2015
233,2015-08-01,2015
217,2015-08-02,2015
294,2015-08-03,2015
222,2015-08-04,2015
279,2015-08-05,2015
235,2015-08-06,2015
251,2015-08-07,2015
245,2015-08-08,2015
219,2015-08-09,2015
284,2015-08-10,2015
264,2015-08-11,2015
256,2015-08-12,2015
279,2015-08-13,2015
292,2015-08-14,2015
229,2015-08-15,2015
226,2015-08-16,2015
296,2015-08-17,2015
291,2015-08-18,2015
249,2015-08-19,2015
290,2015-08-20,2015
289,2015-08-21,2015
223,2015-08-22,2015
230,2015-08-23,2015
303,2015-08-24,2015
303,2015-08-25,2015
298,2015-08-26,2015
300,2015-08-27,2015
283,2015-08-28,2015
233,2015-08-29,2015
227,2015-08-30,2015
279,2015-08-31,2015
278,2015-09-01,2015
282,2015-09-02,2015
244,2015-09-03,2015
251,2015-09-04,2015
246,2015-09-05,2015
242,2015-09-06,2015
213,2015-09-07,2015
289,2015-09-08,2015
271,2015-09-09,2015
277,2015-09-10,2015
262,2015-09-11,2015
246,2015-09-12,2015
221,2015-09-13,2015
269,2015-09-14,2015
278,2015-09-15,2015
291,2015-09-16,2015
321,2015-09-17,2015
291,2015-09-18,2015
204,2015-09-19,2015
218,2015-09-20,2015
293,2015-09-21,2015
280,2015-09-22,2015
246,2015-09-23,2015
263,2015-09-24,2015
244,2015-09-25,2015
192,2015-09-26,2015
206,2015-09-27,2015
273,2015-09-28,2015
278,2015-09-29,2015
273,2015-09-30,2015
275,2015-10-01,2015
277,2015-10-02,2015
244,2015-10-03,2015
222,2015-10-04,2015
249,2015-10-05,2015
278,2015-10-06,2015
341,2015-10-07,2015
259,2015-10-08,2015
282,2015-10-09,2015
268,2015-10-10,2015
206,2015-10-11,2015
296,2015-10-12,2015
285,2015-10-13,2015
286,2015-10-14,2015
278,2015-10-15,2015
302,2015-10-16,2015
225,2015-10-17,2015
211,2015-10-18,2015
260,2015-10-19,2015
261,2015-10-20,2015
279,2015-10-21,2015
263,2015-10-22,2015
302,2015-10-23,2015
221,2015-10-24,2015
224,2015-10-25,2015
279,2015-10-26,2015
259,2015-10-27,2015
257,2015-10-28,2015
291,2015-10-29,2015
268,2015-10-30,2015
231,2015-10-31,2015
233,2015-11-01,2015
251,2015-11-02,2015
288,2015-11-03,2015
250,2015-11-04,2015
280,2015-11-05,2015
280,2015-11-06,2015
207,2015-11-07,2015
182,2015-11-08,2015
254,2015-11-09,2015
260,2015-11-10,2015
241,2015-11-11,2015
267,2015-11-12,2015
291,2015-11-13,2015
234,2015-11-14,2015
213,2015-11-15,2015
275,2015-11-16,2015
236,2015-11-17,2015
268,2015-11-18,2015
258,2015-11-19,2015
284,2015-11-20,2015
269,2015-11-21,2015
197,2015-11-22,2015
238,2015-11-23,2015
222,2015-11-24,2015
208,2015-11-25,2015
140,2015-11-26,2015
176,2015-11-27,2015
184,2015-11-28,2015
194,2015-11-29,2015
243,2015-11-30,2015
215,2015-12-01,2015
251,2015-12-02,2015
252,2015-12-03,2015
258,2015-12-04,2015
196,2015-12-05,2015
164,2015-12-06,2015
246,2015-12-07,2015
249,2015-12-08,2015
233,2015-12-09,2015
273,2015-12-10,2015
258,2015-12-11,2015
214,2015-12-12,2015
215,2015-12-13,2015
254,2015-12-14,2015
177,2015-12-15,2015
227,2015-12-16,2015
228,2015-12-17,2015
265,2015-12-18,2015
210,2015-12-19,2015
223,2015-12-20,2015
241,2015-12-21,2015
229,2015-12-22,2015
263,2015-12-23,2015
181,2015-12-24,2015
125,2015-12-25,2015
153,2015-12-26,2015
170,2015-12-27,2015
246,2015-12-28,2015
228,2015-12-29,2015
225,2015-12-30,2015
259,2015-12-31,2015
190,2016-01-01,2016
207,2016-01-02,2016
227,2016-01-03,2016
264,2016-01-04,2016
262,2016-01-05,2016
358,2016-01-06,2016
237,2016-01-07,2016
316,2016-01-08,2016
185,2016-01-09,2016
193,2016-01-10,2016
281,2016-01-11,2016
254,2016-01-12,2016
240,2016-01-13,2016
272,2016-01-14,2016
253,2016-01-15,2016
202,2016-01-16,2016
214,2016-01-17,2016
229,2016-01-18,2016
224,2016-01-19,2016
241,2016-01-20,2016
284,2016-01-21,2016
292,2016-01-22,2016
235,2016-01-23,2016
212,2016-01-24,2016
284,2016-01-25,2016
251,2016-01-26,2016
251,2016-01-27,2016
264,2016-01-28,2016
256,2016-01-29,2016
195,2016-01-30,2016
209,2016-01-31,2016
277,2016-02-01,2016
167,2016-02-02,2016
232,2016-02-03,2016
260,2016-02-04,2016
273,2016-02-05,2016
200,2016-02-06,2016
193,2016-02-07,2016
280,2016-02-08,2016
258,2016-02-09,2016
287,2016-02-10,2016
265,2016-02-11,2016
267,2016-02-12,2016
231,2016-02-13,2016
184,2016-02-14,2016
213,2016-02-15,2016
264,2016-02-16,2016
220,2016-02-17,2016
273,2016-02-18,2016
266,2016-02-19,2016
218,2016-02-20,2016
203,2016-02-21,2016
242,2016-02-22,2016
248,2016-02-23,2016
265,2016-02-24,2016
281,2016-02-25,2016
261,2016-02-26,2016
231,2016-02-27,2016
225,2016-02-28,2016
284,2016-02-29,2016
230,2016-03-01,2016
277,2016-03-02,2016
308,2016-03-03,2016
288,2016-03-04,2016
205,2016-03-05,2016
209,2016-03-06,2016
253,2016-03-07,2016
252,2016-03-08,2016
267,2016-03-09,2016
298,2016-03-10,2016
